Registrado,Línea,Texto breve de material,Ctd.total reg.,    Valor var.
2020-07,Pintado 1 UNI,0021-UNIVERSAL PRIMER,449.25,3054.9
2020-07,Pintado 1 UNI,0023-CLEAR EPOXICO P/ESPUMA,414.0,1708.9199999999998
2020-07,Pintado 1 UNI,0025-CLEAR EPOXY (WASH COAT),156.25,571.88
2020-07,Pintado 1 UNI,0027-80 GLOSS CLEAR BACKER II,1640.0,8888.8
2020-07,Pintado 1 UNI,0028-CLEAR P/ESPUMA,5076.0,18908.22
2020-07,Pintado 1 UNI,0036-BACK PRIMER,780.0,6201.0
2020-07,Pintado 1 UNI,0038-PRIMER 917,511.25,3225.9900000000002
2020-07,Pintado 1 UNI,0043-PRIMARIO NEGRO 4866,889.0,7040.88
2020-07,Pintado 1 UNI,0051-80 GLOSS CLEAR BACKER.,1426.0,7728.92
2020-07,Pintado 1 UNI,0054-CLEAR KRYSTAL KOTE,6490.0,61070.9
2020-07,Pintado 1 UNI,0079-BECKRYPRIM 246,4884.0,27399.24
2020-07,Pintado 1 UNI,0090-PRIMER 60000,75.0,497.25
2020-07,Pintado 1 UNI,0102-BLANCO STD,3376.0,16100.51
2020-07,Pintado 1 UNI,0110-DURAPLUS BLANCO STD,1755.0,9459.45
2020-07,Pintado 1 UNI,0121-BLANCO STD KYNAR,368.0,5751.84
2020-07,Pintado 1 UNI,0139-NEW PRIME WHITE,1475.0,11962.25
2020-07,Pintado 1 UNI,0173-BLANCO SM,1355.0,6924.05
2020-07,Pintado 1 UNI,0174-BLANCO STD USDA,130.0,702.0
2020-07,Pintado 1 UNI,0202-AZUL REY,160.0,1206.4
2020-07,Pintado 1 UNI,0222-AZUL RAL-5003 FC,238.5,7531.84
2020-07,Pintado 1 UNI,0309-CAFE MOCHA,94.25,868.99
2020-07,Pintado 1 UNI,0400-GRIS FONDO,3696.0,16784.47
2020-07,Pintado 1 UNI,0401-RANGE GRAY,682.8009999999999,5394.13
2020-07,Pintado 1 UNI,0404-GRIS FONDO MC,1490.0,8105.6
2020-07,Pintado 1 UNI,0405-TAUPE METALLIC,405.0,4576.5
2020-07,Pintado 1 UNI,0407-COOL GRAY ICP,465.0,3478.2
2020-07,Pintado 1 UNI,0411-AMERICAN STERLING HVAC,4040.0,30098.0
2020-07,Pintado 1 UNI,0422-BACKER 0507 CR,1935.0,13564.35
2020-07,Pintado 1 UNI,0435-APOLLO GRAY KRYSTAL KOTE,2368.0,21975.04
2020-07,Pintado 1 UNI,0439-PRIVATE LABEL GRAY TEXT,2506.0,28869.12
2020-07,Pintado 1 UNI,0440-BALTIC GRAY HVAC,565.0,4209.25
2020-07,Pintado 1 UNI,0443-PRIVATE LABEL GRAY,2260.0,22893.8
2020-07,Pintado 1 UNI,0447-WARM DARK GRAY TEXT.,125.0,1100.0
2020-07,Pintado 1 UNI,0466-SLATE GRAY HVAC TEXT,275.0,2354.0
2020-07,Pintado 1 UNI,0524-BLACK KRYSTAL KOTE,837.0,7683.66
2020-07,Pintado 1 UNI,0545-NEGRO MANDM,175.0,1454.25
2020-07,Pintado 1 UNI,0601-VERDE PRIMSA,9515.0,35205.5
2020-07,Pintado 1 UNI,0620-VERDE PINO RAL-6028 POLY,970.0,6460.2
2020-07,Pintado 1 UNI,0700-ARENA STD,215.0,1083.6
2020-07,Pintado 1 UNI,0718-SANDPIPER BEIGE,785.0,6452.7
2020-07,Pintado 1 UNI,0901-ROJO STD,975.0,5684.25
2020-07,Pintado 1 UNI,0936-ROJO WRINKLED CR,6980.0,57026.6
2020-07,Pintado 1 UNI,1013-DYNAPRIME 2821,150.0,955.5
2020-07,Pintado 1 UNI,1104-WHITE BACKER 28555,79.0,812.91
2020-07,Pintado 1 UNI,1489-IRON ORE GRAY,80.0,694.4
2020-07,Pintado 1 UNI,1490-IRON ORE GRAY TXT,130.0,1203.8000000000002
2020-07,Pintado 1 UNI,2113-WHITE XW3Y48850,159.185,1598.2199999999998
2020-07,Pintado 1 UNI,BECKRYPRIM 243,2035.0,11558.8
2020-07,Pintado 1 UNI,BLACK TEXT KOTE,1860.0,15252.0
2020-07,Pintado 1 UNI,BLANCO RAL 9003 BACKER,650.0,3562.0
2020-07,Pintado 1 UNI,BROWN T413 SILIC.,463.534,4626.06
2020-07,Pintado 1 UNI,DURAPLUS ARENA STD,275.0,1773.75
2020-07,Pintado 1 UNI,HIGH BUILT PRIMER,2080.0,13769.6
2020-07,Pintado 1 UNI,PRIMARIO 4435,105.0,611.1
2020-07,Pintado 1 UNI,PRIMER 4457,10575.0,58056.75
2020-07,Pintado 1 UNI,ROJO JANITZIO BB,3275.0,19715.5
2020-07,Pintado 1 UNI,ROJO RAL-8004 BACKER,150.0,889.5
2020-07,Pintado 1 UNI,ROJO RAL-8004 POLY,620.0,3664.2
2020-07,Pintado 1 UNI,ROJO STD SILIC.,976.5,6845.26
2020-07,Pintado 1 UNI,WARM DARK GRAY SMOOTH,7733.0,63797.25
2020-07,Pintado 1 UNI,WHITE KRYSTAL KOTE,5235.0,49523.1
2020-07,Pintado 2 UNI,0021-UNIVERSAL PRIMER,4527.671,30788.190000000002
2020-07,Pintado 2 UNI,0023-CLEAR EPOXICO P/ESPUMA,936.0,3881.88
2020-07,Pintado 2 UNI,0028-CLEAR P/ESPUMA,4103.0,15789.63
2020-07,Pintado 2 UNI,0036-BACK PRIMER,200.0,1590.0
2020-07,Pintado 2 UNI,0038-PRIMER 917,1191.017,7515.3099999999995
2020-07,Pintado 2 UNI,0043-PRIMARIO NEGRO 4866,1000.0,7920.0
2020-07,Pintado 2 UNI,0054-CLEAR KRYSTAL KOTE,1093.0,10285.13
2020-07,Pintado 2 UNI,0061-APPLIANCE 30 GLOSS CLEAR,44.267,279.77
2020-07,Pintado 2 UNI,0066-SUPER HIGH GLOSS CLEAR II,400.0,3776.0
2020-07,Pintado 2 UNI,0079-BECKRYPRIM 246,2560.0,14361.6
2020-07,Pintado 2 UNI,0090-PRIMER 60000,1429.5,9477.6
2020-07,Pintado 2 UNI,0097-CLEAR APPLIANCE BACKER MC,3720.0,25407.62
2020-07,Pintado 2 UNI,0102-BLANCO STD,5238.0,25058.73
2020-07,Pintado 2 UNI,0104-BLANCO SUPERMATIC,4864.738,27972.32
2020-07,Pintado 2 UNI,0139-NEW PRIME WHITE,310.0,2514.1
2020-07,Pintado 2 UNI,0151-BLANCO FRIO,622.75,3674.23
2020-07,Pintado 2 UNI,0173-BLANCO SM,120.0,613.2
2020-07,Pintado 2 UNI,0174-BLANCO STD USDA,730.0,3942.0
2020-07,Pintado 2 UNI,0177-WHITE 800043 LAUNDRY,7754.25,72967.45
2020-07,Pintado 2 UNI,0318-TOPAZ METALLIC 14H2593,428.534,7503.64
2020-07,Pintado 2 UNI,0400-GRIS FONDO,2014.0,9002.58
2020-07,Pintado 2 UNI,0404-GRIS FONDO MC,87.0,473.28000000000003
2020-07,Pintado 2 UNI,0407-COOL GRAY ICP,300.0,2244.0
2020-07,Pintado 2 UNI,0504-BLACK QL,251.0,1915.13
2020-07,Pintado 2 UNI,0526-BLACK REF SAB,936.0,8255.52
2020-07,Pintado 2 UNI,0529-BLACK QUANTUM SAB II,394.0,3482.96
2020-07,Pintado 2 UNI,0601-VERDE PRIMSA,10186.0,37688.2
2020-07,Pintado 2 UNI,1014-WHITE PRIMER,630.0,5191.2
2020-07,Pintado 2 UNI,2119-WHITE PW3R09872,5044.298,34402.1
2020-07,Pintado 2 UNI,2122-WHITE BACKER 28555F,2634.585,28532.530000000002
2020-07,Pintado 2 UNI,APPLIANCE 10 GLOSS CLEAR,732.0,5629.07
2020-07,Pintado 2 UNI,BLACK TEXT KOTE,564.0,4624.8
2020-07,Pintado 2 UNI,BLANCO QUANTUM SAB,400.0,3572.0
2020-07,Pintado 2 UNI,CLEAR INOXIDABLE,1195.0,10265.05
2020-07,Pintado 2 UNI,PRIMER 4457,1035.0,5682.15
2020-07,Pintado 2 UNI,SUPER HIGH GLOSS CLEAR,240.0,2251.2
2020-07,Pintado 2 UNI,WHITE KRYSTAL KOTE,1000.0,9460.0
2020-07,Pintado 2 UNI,WHITE TEXT KOTE,1590.0,14198.7
2020-08,Pintado 1 UNI,0021-UNIVERSAL PRIMER,118.267,804.22
2020-08,Pintado 1 UNI,0023-CLEAR EPOXICO P/ESPUMA,1275.0,5284.95
2020-08,Pintado 1 UNI,0027-80 GLOSS CLEAR BACKER II,1410.0,7642.2
2020-08,Pintado 1 UNI,0028-CLEAR P/ESPUMA,7580.0,28643.55
2020-08,Pintado 1 UNI,0036-BACK PRIMER,840.0,6678.0
2020-08,Pintado 1 UNI,0038-PRIMER 917,911.534,5751.77
2020-08,Pintado 1 UNI,0043-PRIMARIO NEGRO 4866,755.0,5979.6
2020-08,Pintado 1 UNI,0051-80 GLOSS CLEAR BACKER.,3988.0,21614.96
2020-08,Pintado 1 UNI,0054-CLEAR KRYSTAL KOTE,5389.0,50710.49
2020-08,Pintado 1 UNI,0079-BECKRYPRIM 246,5541.0,31085.01
2020-08,Pintado 1 UNI,0090-PRIMER 60000,402.25,2666.92
2020-08,Pintado 1 UNI,0102-BLANCO STD,6940.0,33221.6
2020-08,Pintado 1 UNI,0110-DURAPLUS BLANCO STD,3385.0,18245.15
2020-08,Pintado 1 UNI,0139-NEW PRIME WHITE,1775.0,14395.25
2020-08,Pintado 1 UNI,0173-BLANCO SM,459.0,2345.4900000000002
2020-08,Pintado 1 UNI,0178-WHITE TEXT KOTE,5165.0,46123.45
2020-08,Pintado 1 UNI,0400-GRIS FONDO,3500.0,15925.6
2020-08,Pintado 1 UNI,0401-RANGE GRAY,492.801,3893.13
2020-08,Pintado 1 UNI,0404-GRIS FONDO MC,505.0,2747.2
2020-08,Pintado 1 UNI,0405-TAUPE METALLIC,1150.0,12995.0
2020-08,Pintado 1 UNI,0407-COOL GRAY ICP,730.0,5460.4
2020-08,Pintado 1 UNI,0411-AMERICAN STERLING HVAC,2810.0,20934.5
2020-08,Pintado 1 UNI,0422-BACKER 0507 CR,4200.0,29442.0
2020-08,Pintado 1 UNI,0435-APOLLO GRAY KRYSTAL KOTE,4205.0,39022.4
2020-08,Pintado 1 UNI,0439-PRIVATE LABEL GRAY TEXT,3187.0,36714.24
2020-08,Pintado 1 UNI,0440-BALTIC GRAY HVAC,2805.0,20897.25
2020-08,Pintado 1 UNI,0443-PRIVATE LABEL GRAY,2315.0,23450.95
2020-08,Pintado 1 UNI,0447-WARM DARK GRAY TEXT.,210.0,1848.0
2020-08,Pintado 1 UNI,0466-SLATE GRAY HVAC TEXT,65.0,556.4
2020-08,Pintado 1 UNI,0521-NEGRO MM MITSUI.,855.0,5548.95
2020-08,Pintado 1 UNI,0524-BLACK KRYSTAL KOTE,851.0,7812.18
2020-08,Pintado 1 UNI,0534-BLACK TEXT KOTE,855.0,7011.0
2020-08,Pintado 1 UNI,0545-NEGRO MANDM,265.0,2202.15
2020-08,Pintado 1 UNI,0601-VERDE PRIMSA,5658.0,20934.6
2020-08,Pintado 1 UNI,0642-FOREST GREEN XG3Y43427,156.166,2306.57
2020-08,Pintado 1 UNI,0700-ARENA STD,1370.0,6796.8
